prob,dim,npts,nout,error,minimum,feval,niter,convergence,minimum_PT,maximum_PT,mean_PT,median_PT,memory,alloc
cubic_-5.0_9.0_-3.5_-8.5_750_158.csv,4,750,158,1.2011902583708434e-9,4.05588239598334e-16,11.0,11,true,0.005877363,0.011968115000000001,0.006316959845764855,0.005962379,3963760,39403
cubic_5.0_9.5_2.5_0.5_850_212.csv,4,850,212,1.7640732874468767e-8,9.829428515889487e-14,14.0,14,true,0.008278285,0.014367264000000001,0.008855564166371682,0.008378125,5404832,54004
cubic_-5.5_0.0_6.0_10.0_800_112.csv,4,800,112,8.968648046447925e-11,4.626273589340902e-18,8.0,8,true,0.0052762500000000006,0.013453599,0.005680812872727274,0.0053663345,3367936,33274
cubic_-5.5_-10.0_-6.5_-0.5_800_64.csv,4,800,64,1.940686278345538e-8,6.482195164245562e-15,8.0,8,true,0.004953511000000001,0.011595219,0.00533583385058698,0.005009945,3597184,35578
cubic_-5.5_-1.0_-4.5_7.0_300_75.csv,4,300,75,2.5277979798232764e-7,8.97488132901466e-12,10.0,10,true,0.001664174,0.007838553,0.001823995578,0.0016869775,1376784,13796
cubic_5.5_-2.5_2.5_-6.0_300_36.csv,4,300,36,5.457723162294315e-10,3.434743441700154e-17,7.0,7,true,0.0010885550000000002,0.00737302,0.0012169121340000002,0.0011051255000000002,1136144,11303
cubic_5.5_3.5_-10.0_-5.0_100_7.csv,4,100,7,4.296213518273362e-8,7.547183841017238e-14,6.0,6,true,0.00028868300000000003,0.0067046070000000004,0.00033484357900000005,0.0002940625,349760,3533
cubic_5.5_5.5_-5.5_-3.0_750_112.csv,4,750,112,6.819143454350751e-6,7.066795894131932e-10,10.0,10,true,0.005913722000000001,0.01288447,0.006344598357868021,0.005987283,3886112,38584
cubic_-5.5_-7.0_-1.0_-6.0_200_20.csv,4,200,20,7.700420351187591,199.29148292824758,10.0,10,true,0.0009312220000000001,0.007555417000000001,0.0010558351830000001,0.0009448095000000001,1106256,11096
cubic_5.5_-8.5_-5.0_9.0_350_35.csv,4,350,35,7.664387702277509e-8,9.082379943632648e-13,6.0,6,true,0.001204888,0.007625485,0.0013383617450000002,0.0012220115,1162912,11528
cubic_5.5_8.5_-6.0_-6.0_200_40.csv,4,200,40,4.635586812185011e-7,1.5671355843554733e-11,10.0,10,true,0.0009813690000000002,0.007661663000000001,0.0010925186710000001,0.0009912550000000001,986944,9896
cubic_6.0_-0.5_-5.0_-1.5_800_176.csv,4,800,176,7.460367158722787,8157.2964728981715,7.0,7,true,0.004861516000000001,0.01135703,0.005190618013499481,0.004933839000000001,2691504,26431
cubic_6.0_-10.0_-7.5_-3.0_650_136.csv,4,650,136,6.7169938349735965,6149.085236583468,11.0,11,true,0.005898518,0.012611918000000001,0.006327203781012658,0.005991955,3450448,34255
cubic_-6.0_-1.0_-10.0_-5.5_200_34.csv,4,200,34,8.305685702918026,4584.420700325005,9.0,9,true,0.000917591,0.007841653,0.0010340784270000002,0.0009322305000000001,923152,9233
cubic_6.0_-1.0_9.5_3.5_200_42.csv,4,200,42,7.651856987194382,147.3465542746268,7.0,7,true,0.000698259,0.007631537000000001,0.000792488477,0.000708319,690352,6851
cubic_-6.0_-1.5_2.0_-8.5_750_68.csv,4,750,68,6.049823313240274,384.9413169998104,5.0,5,true,0.002735721,0.009657054,0.0029911688390000003,0.0027798465,2122864,20629
cubic_-6.0_-3.0_8.5_-4.0_650_78.csv,4,650,78,2.3068489518607294e-7,1.570876986358374e-11,6.0,6,true,0.002842625,0.009785152,0.0031237108210000002,0.002888236,2130528,20788
cubic_6.0_3.5_1.5_2.0_600_78.csv,4,600,78,2.6892310600601377e-10,3.0893249501123034e-17,7.0,7,true,0.002871184,0.009655474,0.003145945369,0.0029254585000000003,2259984,22147
cubic_6.0_4.5_-10.0_-5.0_900_144.csv,4,900,144,1.8874983975791793e-7,1.9357403935101127e-11,6.0,6,true,0.004109494,0.011253826000000001,0.004454007682,0.0041821565,2797408,27412
cubic_-6.0_4.5_6.5_3.5_150_33.csv,4,150,33,5.930281863769673,1197.2058358346933,7.0,7,true,0.000451664,0.007433292,0.000514986952,0.00045911350000000004,507984,5126
cubic_-6.0_-4.5_-7.5_-6.5_500_120.csv,4,500,120,8.728218148235101e-11,1.9312483350029435e-18,12.0,12,true,0.0038040960000000003,0.010748704000000001,0.0041296023,0.0038526725000000003,2757920,27710
cubic_6.0_5.0_-5.5_-9.5_800_136.csv,4,800,136,1.0556425689145499e-7,1.741850732755619e-13,13.0,13,true,0.0076114450000000005,0.014855108,0.008236427230642504,0.007729303000000001,5225552,52177
cubic_6.0_-7.0_0.5_-8.0_800_112.csv,4,800,112,6.684464093353881e-11,3.961665598481026e-18,7.0,7,true,0.004507894,0.011818835000000001,0.004860284230000001,0.004573936000000001,2959280,29119
cubic_-6.0_-8.0_-9.0_-3.0_300_18.csv,4,300,18,2.534933596365363e-9,1.2764737483263453e-15,6.0,6,true,0.000980826,0.00805349,0.001105340231,0.000993966,1043200,10340
cubic_-6.0_9.0_10.0_5.0_1000_190.csv,4,1000,190,3.156507322188418e-8,3.6832815902905726e-13,9.0,9,true,0.008014703,0.015872193,0.008619394577586209,0.008175202000000001,4436336,44017
cubic_6.0_9.5_0.5_5.0_600_90.csv,4,600,90,1.8784085398237949e-10,8.001829297360012e-18,8.0,8,true,0.003082024,0.010477221,0.0033849105350000006,0.0031408020000000003,2513040,24727
cubic_-6.5_1.0_3.5_1.5_800_96.csv,4,800,96,2.6218494042495877e-10,4.3672538973387365e-17,7.0,7,true,0.004283530000000001,0.011491247000000001,0.004645418309000001,0.0043495345,3026224,29791
